City,Matches_Played,First_Inn_Highest,Second_Inn_Highest
Kigali City,117,28098,28098
Al Amarat,109,28500,28500
Dubai,81,20242,20242
Abu Dhabi,72,17510,17510
Kuala Lumpur,64,14156,14156
Colombo,48,11318,11318
Marsa,48,11621,11621
Dubai International Cricket Stadium,47,10010,10010
Windhoek,38,9444,9444
Mirpur,35,8042,8042
Edinburgh,35,9040,9040
Kirtipur,34,7746,7746
Bangkok,34,8314,8314
Hamilton,33,8268,8268
Krefeld,33,8789,8789
Nairobi,33,8608,8608
Johannesburg,32,8340,8340
Bangi,32,7166,7166
Kerava,30,7926,7926
Doha,29,6511,6511
Almeria,29,6313,6313
Bulawayo,28,5754,5754
Dhaka,28,6585,6585
Auckland,28,7314,7314
London,27,7020,7020
Sharjah,25,6558,6558
Lagos,24,5859,5859
Lahore,23,5688,5688
Dublin,23,5580,5580
Harare,23,5538,5538
Castel,22,5220,5220
Harare Sports Club,22,5869,5869
Cape Town,21,5592,5592
Vantaa,21,5393,5393
Mong Kok,20,5597,5597
Singapore,19,4519,4519
Ilfov County,18,4276,4276
Durban,18,4193,4193
Lauderhill,17,4995,4995
Bali,17,3225,3225
Port Moresby,17,5486,5486
Barbados,17,4199,4199
Belfast,17,4974,4974
Pallekele International Cricket Stadium,17,4371,4371
Sydney,16,3791,3791
Wellington,16,3705,3705
Sofia,16,3840,3840
Bridgetown,16,4567,4567
Chittagong,16,3384,3384
Gibraltar,15,3481,3481
Christchurch,15,4109,4109
Accra,14,3441,3441
Dar-es-Salaam,14,4946,4946
Centurion,14,3757,3757
Nottingham,14,3467,3467
North Sound,14,4103,4103
Sano,14,3282,3282
Episkopi,13,3354,3354
Nagpur,13,3413,3413
Providence,13,4063,4063
Kathmandu,13,3160,3160
Prague,13,3694,3694
Hobart,13,3260,3260
Sharjah Cricket Stadium,13,2958,2958
Port  Soif,13,2721,2721
Tarouba,12,2895,2895
Gros Islet,12,3748,3748
Murcia,12,2871,2871
Mount Maunganui,12,2985,2985
Benoni,12,2688,2688
Buenos Aires,12,3585,3585
Apia,12,3225,3225
Manchester,12,3544,3544
Melbourne Cricket Ground,12,3072,3072
Southampton,12,3202,3202
Rome,12,3268,3268
Spinaceto,12,2961,2961
St Lucia,12,2852,2852
The Hague,12,2114,2114
Chattogram,11,3033,3033
Brondby,11,2778,2778
Kolkata,11,2866,2866
Coolidge,11,2866,2866
Karachi,11,3503,3503
Waterloo,10,2911,2911
Brisbane,10,2812,2812
Cardiff,10,3367,3367
Perth,10,2862,2862
Port Vila,10,1911,1911
Adelaide,9,2482,2482
Mumbai,9,1495,1495
Hangzhou,9,1722,1722
Kampala,9,1647,1647
Dharamsala,8,1978,1978
Birmingham,8,1931,1931
New York,8,2581,2581
St George's,8,1892,1892
Entebbe,8,2082,2082
Melbourne,7,1823,1823
Kandy,7,1613,1613
Delhi,7,1690,1690
Hambantota,7,1085,1085
Houston,7,1574,1574
Ahmedabad,7,1675,1675
Chandigarh,7,1419,1419
Dreux,7,1363,1363
Deventer,7,1829,1829
Guyana,6,1152,1152
Sydney Cricket Ground,6,1449,1449
Trinidad,6,2009,2009
St Peter Port,6,1134,1134
Geelong,6,2025,2025
Lucknow,6,1809,1809
Kingston,6,1581,1581
Sylhet,6,1724,1724
Sylhet Stadium,6,1147,1147
Bristol,6,1552,1552
Basseterre,6,1386,1386
Bready,6,1715,1715
Albergaria,6,1733,1733
Napier,6,1545,1545
St Kitts,6,1532,1532
Greater Noida,6,1938,1938
Canberra,5,1161,1161
Utrecht,5,1153,1153
Bangalore,5,1011,1011
Bengaluru,5,1552,1552
Kingstown,5,1419,1419
Ghent,5,1381,1381
Rawalpindi,5,1182,1182
Rotterdam,5,1271,1271
Rajkot,5,1256,1256
Zagreb,5,1260,1260
Amstelveen,4,1090,1090
Adelaide Oval,4,1060,1060
Fatullah,4,1176,1176
Indore,4,1057,1057
Guacima,4,645,645
Khulna,4,951,951
Dallas,4,1451,1451
Antigua,4,1012,1012
Dehra Dun,4,1213,1213
Chester-le-Street,4,859,859
Ranchi,4,1019,1019
Pune,4,953,953
Thiruvananthapuram,4,1147,1147
Visakhapatnam,4,1008,1008
St Georges Quilmes,3,787,787
Walferdange,3,569,569
Rawalpindi Cricket Stadium,3,748,748
Port Elizabeth,3,670,670
Jamaica,3,666,666
Dambulla,3,623,623
Belgrade,3,1050,1050
Cuttack,3,858,858
Guwahati,3,524,524
Mombasa Sports Club Ground,3,380,380
Moara Vlasiei Cricket Ground,3,686,686
Dunedin,3,943,943
East London,3,665,665
Townsville,2,322,322
Szodliget,2,697,697
Roseau,2,471,471
Chennai,2,406,406
Copenhagen,2,567,567
Dehradun,2,539,539
Dominica,2,325,325
Bloemfontein,2,368,368
St Vincent,2,376,376
Incheon,2,758,758
Hyderabad,2,425,425
Nelson,2,593,593
Hong Kong,2,322,322
King City,2,708,708
Londonderry,2,518,518
Potchefstroom,2,624,624
Derry,1,105,105
Carrara Oval,1,241,241
Carrara,1,319,319
Dharmasala,1,331,331
Gqeberha,1,393,393
Kanpur,1,295,295
Jaipur,1,229,229
Leeds,1,285,285
Kimberley,1,205,205
Paarl,1,353,353
Raipur,1,312,312
Queenstown,1,356,356
Sylhet International Cricket Stadium,1,378,378
Taunton,1,345,345
Victoria,1,349,349
